,month,name,latitude,longitude,count,rank
0,6,8 Ave & W 31 St,40.75044999,-73.99481051,7259,1
1,6,E 17 St & Broadway,40.73704984,-73.99009296,5298,2
2,6,E 42 St & Vanderbilt Ave,40.752416,-73.97837,5233,3
3,6,W 21 St & 6 Ave,40.74173969,-73.99415556,4366,4
4,6,Lafayette St & E 8 St,40.73028666,-73.9907647,4321,5
5,6,West St & Chambers St,40.71754834,-74.01322069,4039,6
6,6,Lafayette St & E 8 St,40.73028666,-73.9907647,3945,7
7,6,Broadway & E 22 St,40.7403432,-73.98955109,3882,8
8,6,Christopher St & Greenwich St,40.73291553,-74.00711384,3842,9
9,6,E 42 St & Vanderbilt Ave,40.752416,-73.97837,3797,10
10,7,8 Ave & W 31 St,40.75044999,-73.99481051,9613,1
11,7,E 42 St & Vanderbilt Ave,40.752416,-73.97837,5667,2
12,7,E 17 St & Broadway,40.73704984,-73.99009296,5636,3
13,7,Lafayette St & E 8 St,40.73028666,-73.9907647,4695,4
14,7,W 21 St & 6 Ave,40.74173969,-73.99415556,4646,5
15,7,Lafayette St & E 8 St,40.73028666,-73.9907647,4358,6
16,7,E 42 St & Vanderbilt Ave,40.752416,-73.97837,4218,7
17,7,Broadway & E 22 St,40.7403432,-73.98955109,4182,8
18,7,E 17 St & Broadway,40.73704984,-73.99009296,3881,9
19,7,Broadway & W 24 St,40.7423543,-73.98915076,3853,10
20,5,8 Ave & W 31 St,40.75044999,-73.99481051,6041,1
21,5,E 17 St & Broadway,40.73704984,-73.99009296,5161,2
22,5,E 42 St & Vanderbilt Ave,40.752416,-73.97837,4935,3
23,5,W 21 St & 6 Ave,40.74173969,-73.99415556,4328,4
24,5,Lafayette St & E 8 St,40.73028666,-73.9907647,4315,5
25,5,Lafayette St & E 8 St,40.73028666,-73.9907647,3907,6
26,5,West St & Chambers St,40.71754834,-74.01322069,3877,7
27,5,E 42 St & Vanderbilt Ave,40.752416,-73.97837,3775,8
28,5,Broadway & W 24 St,40.7423543,-73.98915076,3773,9
29,5,8 Ave & W 33 St,40.751551,-73.993934,3736,10
30,1,8 Ave & W 31 St,40.75044999,-73.99481051,2381,1
31,1,W 21 St & 6 Ave,40.74173969,-73.99415556,1914,2
32,1,E 17 St & Broadway,40.73704984,-73.99009296,1910,3
33,1,Pershing Square N,40.75188406,-73.97770164,1866,4
34,1,Lafayette St & E 8 St,40.73028666,-73.9907647,1864,5
35,1,8 Ave & W 33 St,40.751551,-73.993934,1755,6
36,1,Pershing Square N,40.75188406,-73.97770164,1674,7
37,1,Broadway & E 22 St,40.7403432,-73.98955109,1668,8
38,1,W 41 St & 8 Ave,40.75640548,-73.9900262,1658,9
39,1,W 33 St & 7 Ave,40.75019995,-73.99093085,1460,10
40,8,8 Ave & W 31 St,40.75044999,-73.99481051,8172,1
41,8,E 42 St & Vanderbilt Ave,40.752416,-73.97837,5549,2
42,8,E 17 St & Broadway,40.73704984,-73.99009296,5400,3
43,8,Lafayette St & E 8 St,40.73028666,-73.9907647,4921,4
44,8,Lafayette St & E 8 St,40.73028666,-73.9907647,4762,5
45,8,W 21 St & 6 Ave,40.74173969,-73.99415556,4633,6
46,8,Broadway & E 22 St,40.7403432,-73.98955109,4256,7
47,8,E 42 St & Vanderbilt Ave,40.752416,-73.97837,4136,8
48,8,Cleveland Pl & Spring St,40.7218158,-73.99720307,4085,9
49,8,Vesey Pl & River Terrace,40.7153379,-74.01658354,3905,10
50,10,8 Ave & W 31 St,40.75044999,-73.99481051,8922,1
51,10,E 17 St & Broadway,40.73704984,-73.99009296,5001,2
52,10,Lafayette St & E 8 St,40.73028666,-73.9907647,4507,3
53,10,W 21 St & 6 Ave,40.74173969,-73.99415556,4382,4
54,10,Pershing Square North,40.751873,-73.977706,4322,5
55,10,Lafayette St & E 8 St,40.73028666,-73.9907647,3726,6
56,10,Broadway & E 14 St,40.73454567,-73.99074142,3642,7
57,10,Broadway & E 22 St,40.7403432,-73.98955109,3548,8
58,10,Pershing Square North,40.751873,-73.977706,3527,9
59,10,W 21 St & 6 Ave,40.74173969,-73.99415556,3472,10
60,2,Lafayette St & E 8 St,40.73028666,-73.9907647,1573,1
61,2,W 21 St & 6 Ave,40.74173969,-73.99415556,1552,2
62,2,8 Ave & W 31 St,40.75044999,-73.99481051,1496,3
63,2,E 17 St & Broadway,40.73704984,-73.99009296,1492,4
64,2,Lafayette St & E 8 St,40.73028666,-73.9907647,1347,5
65,2,W 41 St & 8 Ave,40.75640548,-73.9900262,1260,6
66,2,8 Ave & W 33 St,40.751551,-73.993934,1240,7
67,2,Broadway & E 22 St,40.7403432,-73.98955109,1221,8
68,2,Pershing Square N,40.75188406,-73.97770164,1208,9
69,2,Cleveland Pl & Spring St,40.7218158,-73.99720307,1118,10
70,12,8 Ave & W 31 St,40.75044999,-73.99481051,5298,1
71,12,Lafayette St & E 8 St,40.73028666,-73.9907647,2878,2
72,12,W 21 St & 6 Ave,40.74173969,-73.99415556,2634,3
73,12,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2547,4
74,12,8 Ave & W 33 St,40.751551,-73.993934,2372,5
75,12,Lafayette St & E 8 St,40.73028666,-73.9907647,2320,6
76,12,W 21 St & 6 Ave,40.74173969,-73.99415556,2178,7
77,12,Broadway & E 14 St,40.73454567,-73.99074142,2129,8
78,12,Pershing Square North,40.751873,-73.977706,2075,9
79,12,Broadway & E 22 St,40.7403432,-73.98955109,2048,10
80,9,8 Ave & W 31 St,40.75044999,-73.99481051,8989,1
81,9,E 17 St & Broadway,40.73704984,-73.99009296,5679,2
82,9,Pershing Square North,40.751873,-73.977706,4923,3
83,9,Lafayette St & E 8 St,40.73028666,-73.9907647,4779,4
84,9,W 21 St & 6 Ave,40.74173969,-73.99415556,4613,5
85,9,Lafayette St & E 8 St,40.73028666,-73.9907647,4556,6
86,9,E 17 St & Broadway,40.73704984,-73.99009296,4115,7
87,9,Broadway & W 24 St,40.7423543,-73.98915076,4109,8
88,9,Broadway & E 22 St,40.7403432,-73.98955109,3928,9
89,9,W 21 St & 6 Ave,40.74173969,-73.99415556,3917,10
90,3,8 Ave & W 31 St,40.75044999,-73.99481051,3370,1
91,3,Lafayette St & E 8 St,40.73028666,-73.9907647,2731,2
92,3,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2661,3
93,3,E 17 St & Broadway,40.73704984,-73.99009296,2521,4
94,3,W 21 St & 6 Ave,40.74173969,-73.99415556,2464,5
95,3,8 Ave & W 33 St,40.751551,-73.993934,2440,6
96,3,W 41 St & 8 Ave,40.75640548,-73.9900262,2321,7
