,month,name,latitude,longitude,count,rank
0,3,8 Ave & W 31 St,40.75044999,-73.99481051,2792,1
1,3,Lafayette St & E 8 St,40.73028666,-73.9907647,2509,2
2,3,W 41 St & 8 Ave,40.75640548,-73.9900262,2494,3
3,3,W 33 St & 7 Ave,40.75019995,-73.99093085,2405,4
4,3,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2315,5
5,3,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2300,6
6,3,W 21 St & 6 Ave,40.74173969,-73.99415556,2257,7
7,3,E 17 St & Broadway,40.73704984,-73.99009296,2254,8
8,3,Lafayette St & E 8 St,40.73028666,-73.9907647,2103,9
9,3,Broadway & W 24 St,40.7423543,-73.98915076,2016,10
10,10,8 Ave & W 31 St,40.75044999,-73.99481051,5959,1
11,10,Pershing Square North,40.751873,-73.977706,4667,2
12,10,W 41 St & 8 Ave,40.75640548,-73.9900262,4532,3
13,10,E 17 St & Broadway,40.73704984,-73.99009296,4527,4
14,10,W 21 St & 6 Ave,40.74173969,-73.99415556,4267,5
15,10,Lafayette St & E 8 St,40.73028666,-73.9907647,4183,6
16,10,Pershing Square North,40.751873,-73.977706,4180,7
17,10,Lafayette St & E 8 St,40.73028666,-73.9907647,4043,8
18,10,E 17 St & Broadway,40.73704984,-73.99009296,3990,9
19,10,W 33 St & 7 Ave,40.75019995,-73.99093085,3776,10
20,8,E 42 St & Vanderbilt Ave,40.752416,-73.97837,5142,1
21,8,E 17 St & Broadway,40.73704984,-73.99009296,4870,2
22,8,8 Ave & W 31 St,40.75044999,-73.99481051,4746,3
23,8,West St & Chambers St,40.71754834,-74.01322069,4376,4
24,8,E 17 St & Broadway,40.73704984,-73.99009296,4334,5
25,8,Lafayette St & E 8 St,40.73028666,-73.9907647,4333,6
26,8,E 42 St & Vanderbilt Ave,40.752416,-73.97837,4287,7
27,8,Broadway & E 22 St,40.7403432,-73.98955109,3955,8
28,8,W 21 St & 6 Ave,40.74173969,-73.99415556,3939,9
29,8,W 41 St & 8 Ave,40.75640548,-73.9900262,3911,10
30,1,8 Ave & W 31 St,40.75044999,-73.99481051,2060,1
31,1,Pershing Square N,40.75188406,-73.97770164,1828,2
32,1,W 41 St & 8 Ave,40.75640548,-73.9900262,1750,3
33,1,Pershing Square N,40.75188406,-73.97770164,1653,4
34,1,W 21 St & 6 Ave,40.74173969,-73.99415556,1613,5
35,1,Lafayette St & E 8 St,40.73028666,-73.9907647,1537,6
36,1,E 17 St & Broadway,40.73704984,-73.99009296,1515,7
37,1,W 33 St & 7 Ave,40.75019995,-73.99093085,1389,8
38,1,Broadway & E 22 St,40.7403432,-73.98955109,1365,9
39,1,8 Ave & W 33 St,40.751551,-73.993934,1354,10
40,7,8 Ave & W 31 St,40.75044999,-73.99481051,5475,1
41,7,E 42 St & Vanderbilt Ave,40.752416,-73.97837,5307,2
42,7,E 17 St & Broadway,40.73704984,-73.99009296,5210,3
43,7,E 17 St & Broadway,40.73704984,-73.99009296,4635,4
44,7,Lafayette St & E 8 St,40.73028666,-73.9907647,4322,5
45,7,E 42 St & Vanderbilt Ave,40.752416,-73.97837,4310,6
46,7,West St & Chambers St,40.71754834,-74.01322069,4162,7
47,7,W 21 St & 6 Ave,40.74173969,-73.99415556,4033,8
48,7,Broadway & E 22 St,40.7403432,-73.98955109,4026,9
49,7,Lafayette St & E 8 St,40.73028666,-73.9907647,3998,10
50,12,8 Ave & W 31 St,40.75044999,-73.99481051,2552,1
51,12,W 41 St & 8 Ave,40.75640548,-73.9900262,2215,2
52,12,W 33 St & 7 Ave,40.75019995,-73.99093085,2047,3
53,12,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2010,4
54,12,Lafayette St & E 8 St,40.73028666,-73.9907647,1991,5
55,12,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,1942,6
56,12,W 21 St & 6 Ave,40.74173969,-73.99415556,1899,7
57,12,W 31 St & 7 Ave,40.749156,-73.9916,1878,8
58,12,Pershing Square North,40.751873,-73.977706,1811,9
