,month,name,latitude,longitude,count,rank
0,4,E 7 St & Avenue A,40.72621788,-73.98379855,1821,1
1,4,Lafayette St & E 8 St,40.73028666,-73.9907647,1528,2
2,4,E 14 St & Avenue B,40.72938685,-73.97772429,1286,3
3,4,Broadway & E 14 St,40.73454567,-73.99074142,1263,4
4,4,University Pl & E 14 St,40.73492695,-73.99200509,1253,5
5,4,Cleveland Pl & Spring St,40.7218158,-73.99720307,1165,6
6,4,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,1163,7
7,4,Carmine St & 6 Ave,40.73038599,-74.00214988,1160,8
8,4,W 20 St & 11 Ave,40.746745,-74.007756,1153,9
9,4,Lafayette St & E 8 St,40.73028666,-73.9907647,1133,10
10,1,Lafayette St & E 8 St,40.73028666,-73.9907647,486,1
11,1,Broadway & E 14 St,40.73454567,-73.99074142,465,2
12,1,1 Ave & E 15 St,40.73221853,-73.98165557,401,3
13,1,University Pl & E 14 St,40.73492695,-73.99200509,360,4
14,1,E 7 St & Avenue A,40.72621788,-73.98379855,354,5
15,1,1 Ave & E 15 St,40.73221853,-73.98165557,344,6
16,1,W 21 St & 6 Ave,40.74173969,-73.99415556,334,7
17,1,E 39 St & 2 Ave,40.74780373,-73.9734419,334,7
18,1,E 13 St & Avenue A,40.72955361,-73.98057249,328,9
19,1,E 10 St & Avenue A,40.72740794,-73.98142006,326,10
20,3,Lafayette St & E 8 St,40.73028666,-73.9907647,735,1
21,3,Lexington Ave & E 24 St,40.74025878,-73.98409214,733,2
22,3,8 Ave & W 33 St,40.751551,-73.993934,682,3
23,3,8 Ave & W 33 St,40.751551,-73.993934,659,4
24,3,E 17 St & Broadway,40.73704984,-73.99009296,646,5
25,3,W 41 St & 8 Ave,40.75640548,-73.9900262,639,6
26,3,Lexington Ave & E 24 St,40.74025878,-73.98409214,615,7
27,3,E 10 St & Avenue A,40.72740794,-73.98142006,593,8
28,3,1 Ave & E 15 St,40.73221853,-73.98165557,573,9
29,3,Broadway & E 14 St,40.73454567,-73.99074142,556,10
30,8,E 7 St & Avenue A,40.72621788,-73.98379855,3384,1
31,8,West St & Chambers St,40.71754834,-74.01322069,2990,2
32,8,Lafayette St & E 8 St,40.73028666,-73.9907647,2911,3
33,8,Carmine St & 6 Ave,40.73038599,-74.00214988,2596,4
34,8,West St & Chambers St,40.71754834,-74.01322069,2555,5
35,8,Lafayette St & E 8 St,40.73028666,-73.9907647,2519,6
36,8,Broadway & E 14 St,40.73454567,-73.99074142,2514,7
37,8,W 20 St & 11 Ave,40.746745,-74.007756,2471,8
38,8,E 17 St & Broadway,40.73704984,-73.99009296,2411,9
39,8,Broadway & W 60 St,40.76915505,-73.98191841,2357,10
40,11,Lafayette St & E 8 St,40.73028666,-73.9907647,1445,1
41,11,E 14 St & Avenue B,40.72938685,-73.97772429,1356,2
42,11,Carmine St & 6 Ave,40.73038599,-74.00214988,1158,3
43,11,Broadway & E 14 St,40.73454567,-73.99074142,1149,4
44,11,University Pl & E 14 St,40.73492695,-73.99200509,1070,5
45,11,E 10 St & Avenue A,40.72740794,-73.98142006,1024,6
46,11,E 17 St & Broadway,40.73704984,-73.99009296,1018,7
47,11,1 Ave & E 15 St,40.73221853,-73.98165557,1017,8
48,11,E 7 St & Avenue A,40.72621788,-73.98379855,1003,9
49,11,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,984,10
50,5,E 7 St & Avenue A,40.72621788,-73.98379855,2455,1
51,5,Carmine St & 6 Ave,40.73038599,-74.00214988,2071,2
52,5,Lafayette St & E 8 St,40.73028666,-73.9907647,2040,3
53,5,West St & Chambers St,40.71754834,-74.01322069,1866,4
54,5,E 14 St & Avenue B,40.72938685,-73.97772429,1751,5
55,5,Carmine St & 6 Ave,40.73038599,-74.00214988,1733,6
56,5,W 20 St & 11 Ave,40.746745,-74.007756,1713,7
57,5,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,1685,8
58,5,University Pl & E 14 St,40.73492695,-73.99200509,1681,9
59,5,Broadway & W 60 St,40.76915505,-73.98191841,1662,10
60,9,E 7 St & Avenue A,40.72621788,-73.98379855,4227,1
61,9,E 14 St & Avenue B,40.72938685,-73.97772429,2683,2
62,9,Lafayette St & E 8 St,40.73028666,-73.9907647,2588,3
63,9,Carmine St & 6 Ave,40.73038599,-74.00214988,2386,4
64,9,Pershing Square North,40.751873,-73.977706,2365,5
65,9,Cleveland Pl & Spring St,40.7218158,-73.99720307,2269,6
66,9,Lafayette St & E 8 St,40.73028666,-73.9907647,2237,7
67,9,Broadway & E 14 St,40.73454567,-73.99074142,2208,8
68,9,University Pl & E 14 St,40.73492695,-73.99200509,2126,9
69,9,West St & Chambers St,40.71754834,-74.01322069,2051,10
70,2,Lafayette St & E 8 St,40.73028666,-73.9907647,355,1
71,2,W 41 St & 8 Ave,40.75640548,-73.9900262,309,2
72,2,Lexington Ave & E 24 St,40.74025878,-73.98409214,294,3
73,2,1 Ave & E 15 St,40.73221853,-73.98165557,291,4
74,2,E 17 St & Broadway,40.73704984,-73.99009296,278,5
