,id,name,latitude,longitude,capacity,num_bikes_available,num_bikes_disabled
0,435,W 21 St & 6 Ave,40.74173969,-73.99415556,47,22,2
1,3321,Clinton St & Union St,40.6831164,-73.99785267,25,0,0
2,368,Carmine St & 6 Ave,40.73038599,-74.00214988,39,14,0
3,3112,Milton St & Franklin St,40.72906,-73.95779,33,20,0
4,492,W 33 St & 7 Ave,40.75019995,-73.99093085,61,3,1
5,3150,E 85 St & York Ave,40.77536905,-73.94803392,47,4,0
6,440,E 45 St & 3 Ave,40.75255434,-73.97282625,32,6,0
7,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,39,1,0
8,3338,2 Ave & E 99 St,40.7862586,-73.94552579,31,5,0
9,3395,Henry St & W 9 St,40.6763744,-74.00324957,19,3,1
10,3092,Berry St & N 8 St,40.7190095,-73.95852515,27,15,0
11,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,27,0,0
12,3332,Degraw St & Hoyt St,40.68199044,-73.99079025,19,4,0
13,243,Fulton St & Rockwell Pl,40.688226,-73.979382,31,20,1
14,3086,Graham Ave & Conselyea St,40.715143,-73.944507,25,9,1
15,3431,E 35 St & 3 Ave,40.746524,-73.977885,26,4,0
16,316,Fulton St & William St,40.70955958,-74.00653609,43,0,0
17,3367,5 Ave & E 103 St,40.7922553,-73.95249933,39,26,1
18,3115,India St & Manhattan Ave,40.73232194,-73.9550858,34,0,0
19,484,W 44 St & 5 Ave,40.75500254,-73.98014437,44,35,2
20,3402,Court St & State St,40.6902375,-73.99203074,23,10,3
21,3085,Roebling St & N 4 St,40.71469,-73.95739,25,4,0
22,3162,W 78 St & Broadway,40.78339981,-73.98093133,39,1,1
23,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,49,37,2
24,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,31,13,0
25,351,Front St & Maiden Ln,40.70530954,-74.00612572,39,32,0
26,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,23,5,0
27,3313,6 Ave & 12 St,40.6663181,-73.9854617,29,3,1
28,3315,Henry St & Degraw St,40.6847514,-73.99917254,23,0,0
29,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,27,1,0
30,306,Cliff St & Fulton St,40.70823502,-74.00530063,17,13,1
31,3096,Union Ave & N 12 St,40.71924,-73.95242,39,1,3
32,3311,Columbia St & Kane St,40.68763155,-74.0016256,21,5,0
33,3304,6 Ave & 9 St,40.668127,-73.98377641,27,2,0
34,337,Old Slip & Front St,40.7037992,-74.00838676,37,35,0
35,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,47,24,0
36,529,W 42 St & 8 Ave,40.7575699,-73.99098507,41,7,1
37,365,Fulton St & Grand Ave,40.68223166,-73.9614583,31,6,0
38,386,Centre St & Worth St,40.71494807,-74.00234482,43,21,0
39,3373,3 St & 3 Ave,40.6750705,-73.98775226,27,25,2
40,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,23,4,0
41,3308,Kane St & Clinton St,40.6861758,-73.99645295,27,1,2
42,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,19,1,0
43,3151,E 81 St & York Ave,40.7728384,-73.94989233,43,6,1
44,3152,3 Ave & E 71 St,40.76873687,-73.96119945,42,0,0
45,173,Broadway & W 49 St,40.76068327,-73.98452729,51,35,1
